,model,C0,S0,pato0,k_ap,GFP
115,simple,0.1,0.1,5.0,1.1497569953977357e-05,0.7017564239663474
116,simple,0.1,0.1,5.0,1.3530477745798076e-05,0.7017572098766605
117,simple,0.1,0.1,5.0,1.5922827933410938e-05,0.7017582937216231
118,simple,0.1,0.1,5.0,1.873817422860383e-05,0.7017598038644358
119,simple,0.1,0.1,5.0,2.2051307399030455e-05,0.7017618869896556
120,simple,0.1,0.1,5.0,2.5950242113997373e-05,0.7017647759631203
121,simple,0.1,0.1,5.0,3.053855508833412e-05,0.7017687705839512
122,simple,0.1,0.1,5.0,3.5938136638046256e-05,0.7017743117598777
123,simple,0.1,0.1,5.0,4.229242874389499e-05,0.7017819764631982
124,simple,0.1,0.1,5.0,4.977023564332114e-05,0.7017925927037642
125,simple,0.1,0.1,5.0,5.857020818056661e-05,0.7018072921157755
126,simple,0.1,0.1,5.0,6.892612104349695e-05,0.7018276394332386
127,simple,0.1,0.1,5.0,8.111308307896872e-05,0.7018558076454955
128,simple,0.1,0.1,5.0,9.545484566618328e-05,0.7018947865750509
129,simple,0.1,0.1,5.0,0.00011233240329780277,0.7019487391679907
130,simple,0.1,0.1,5.0,0.00013219411484660288,0.7020234140680036
131,simple,0.1,0.1,5.0,0.00015556761439304722,0.7021267498681089
132,simple,0.1,0.1,5.0,0.0001830738280295368,0.7022697073835452
133,simple,0.1,0.1,5.0,0.00021544346900318823,0.7024674477171449
134,simple,0.1,0.1,5.0,0.00025353644939701115,0.7027409002424956
135,simple,0.1,0.1,5.0,0.0002983647240283337,0.7031189213244663
136,simple,0.1,0.1,5.0,0.0003511191734215131,0.7036413201888537
137,simple,0.1,0.1,5.0,0.00041320124001153346,0.7043628469933323
138,simple,0.1,0.1,5.0,0.00048626015800653534,0.7053588027225509
139,simple,0.1,0.1,5.0,0.0005722367659350214,0.7067324185772816
140,simple,0.1,0.1,5.0,0.0006734150657750821,0.7086249033098241
141,simple,0.1,0.1,5.0,0.0007924828983539169,0.7112286023098359
142,simple,0.1,0.1,5.0,0.0009326033468832199,0.714804058478605
143,simple,0.1,0.1,5.0,0.0010974987654930556,0.7197014307188557
144,simple,0.1,0.1,5.0,0.001291549665014884,0.7263858495862282
145,simple,0.1,0.1,5.0,0.0015199110829529332,0.7354643125559176
146,simple,0.1,0.1,5.0,0.001788649529057435,0.7477072859476749
147,simple,0.1,0.1,5.0,0.00210490414451202,0.7640487949256717
148,simple,0.1,0.1,5.0,0.0024770763559917087,0.7855323828506077
149,simple,0.1,0.1,5.0,0.002915053062825176,0.8131459065406017
150,simple,0.1,0.1,5.0,0.0034304692863149156,0.8474721705726431
151,simple,0.1,0.1,5.0,0.004037017258596553,0.8881365511519888
152,simple,0.1,0.1,5.0,0.004750810162102793,0.9332677259235886
153,simple,0.1,0.1,5.0,0.005590810182512223,0.9795424830759676
154,simple,0.1,0.1,5.0,0.006579332246575676,1.0232430333513964
155,simple,0.1,0.1,5.0,0.007742636826811269,1.0616952820099343
156,simple,0.1,0.1,5.0,0.009111627561154887,1.093889888036512
157,simple,0.1,0.1,5.0,0.010722672220103232,1.1200922665757822
158,simple,0.1,0.1,5.0,0.012618568830660211,1.1411556324422067
159,simple,0.1,0.1,5.0,0.014849682622544635,1.1580444987790186
160,simple,0.1,0.1,5.0,0.017475284000076828,1.17162190887461
161,simple,0.1,0.1,5.0,0.020565123083486514,1.182591699018268
162,simple,0.1,0.1,5.0,0.024201282647943835,1.191505891129721
163,simple,0.1,0.1,5.0,0.02848035868435799,1.1987913398849086
164,simple,0.1,0.1,5.0,0.03351602650938841,1.204777463578015
165,simple,0.1,0.1,5.0,0.03944206059437656,1.2097195384964627
166,simple,0.1,0.1,5.0,0.046415888336127725,1.213816807063198
167,simple,0.1,0.1,5.0,0.05462277217684337,1.2172260631667917
168,simple,0.1,0.1,5.0,0.06428073117284319,1.2200717031636596
169,simple,0.1,0.1,5.0,0.07564633275546291,1.2224532921795384
170,simple,0.1,0.1,5.0,0.08902150854450375,1.2244510498845382
171,simple,0.1,0.1,5.0,0.1047615752789664,1.2261300936625257
172,simple,0.1,0.1,5.0,0.12328467394420659,1.2275436289614867
173,simple,0.1,0.1,5.0,0.145082877849594,1.228735296922553
174,simple,0.1,0.1,5.0,0.17073526474706888,1.2297411315833944
175,simple,0.1,0.1,5.0,0.2009233002565046,1.2305909626389628
176,simple,0.1,0.1,5.0,0.23644894126454072,1.231309612380409
177,simple,0.1,0.1,5.0,0.2782559402207126,1.2319177857560903
178,simple,0.1,0.1,5.0,0.3274549162877725,1.2324327700524325
179,simple,0.1,0.1,5.0,0.38535285937105274,1.2328690796238166
180,simple,0.1,0.1,5.0,0.4534878508128582,1.2332388981651172
181,simple,0.1,0.1,5.0,0.5336699231206302,1.2335524804951847
182,simple,0.1,0.1,5.0,0.6280291441834247,1.2338184558682048
183,simple,0.1,0.1,5.0,0.7390722033525775,1.2340441280781427
184,simple,0.1,0.1,5.0,0.8697490026177834,1.2342356346599563
185,simple,0.1,0.1,5.0,1.0235310218990248,1.2343981892672997
186,simple,0.1,0.1,5.0,1.2045035402587811,1.2345361894145777
187,simple,0.1,0.1,5.0,1.4174741629268048,1.2346533573731509
188,simple,0.1,0.1,5.0,1.6681005372000592,1.2347528566686417
189,simple,0.1,0.1,5.0,1.9630406500402684,1.2348373567340707
190,simple,0.1,0.1,5.0,2.310129700083158,1.2349091319268126
191,simple,0.1,0.1,5.0,2.71858824273294,1.2349700892841982
192,simple,0.1,0.1,5.0,3.1992671377973845,1.2350218638576316
193,simple,0.1,0.1,5.0,3.7649358067924634,1.2350658562163155
194,simple,0.1,0.1,5.0,4.430621457583878,1.2351032265087174
195,simple,0.1,0.1,5.0,5.214008287999684,1.2351349751393732
196,simple,0.1,0.1,5.0,6.135907273413163,1.235161953929845
197,simple,0.1,0.1,5.0,7.220809018385457,1.2351848710957325
198,simple,0.1,0.1,5.0,8.497534359086439,1.2352043446922065
199,simple,0.1,0.1,5.0,10.0,1.235220885945724
