,model,C0,S0,pato0,k_ap,GFP
42,original,0.1,0.1,1.0,0.0009326033468832199,1282.0765361834924
43,original,0.1,0.1,1.0,0.0010974987654930556,1288.0274323005774
44,original,0.1,0.1,1.0,0.001291549665014884,1292.881101055825
45,original,0.1,0.1,1.0,0.0015199110829529332,1296.8131821283528
46,original,0.1,0.1,1.0,0.001788649529057435,1299.9890743974315
47,original,0.1,0.1,1.0,0.00210490414451202,1302.5541649467286
48,original,0.1,0.1,1.0,0.0024770763559917087,1304.6303362331064
49,original,0.1,0.1,1.0,0.002915053062825176,1306.3165798238263
50,original,0.1,0.1,1.0,0.0034304692863149156,1307.6917958691222
51,original,0.1,0.1,1.0,0.004037017258596553,1308.8182512380988
52,original,0.1,0.1,1.0,0.004750810162102793,1309.7449037532788
53,original,0.1,0.1,1.0,0.005590810182512223,1310.5102858445207
54,original,0.1,0.1,1.0,0.006579332246575676,1311.1448031249863
55,original,0.1,0.1,1.0,0.007742636826811269,1311.6725900992192
56,original,0.1,0.1,1.0,0.009111627561154887,1312.1128967322547
57,original,0.1,0.1,1.0,0.010722672220103232,1312.4811694239186
58,original,0.1,0.1,1.0,0.012618568830660211,1312.7898964089072
59,original,0.1,0.1,1.0,0.014849682622544635,1313.0492094639926
60,original,0.1,0.1,1.0,0.017475284000076828,1313.2673844743542
61,original,0.1,0.1,1.0,0.020565123083486514,1313.4512282421354
62,original,0.1,0.1,1.0,0.024201282647943835,1313.6063001727885
63,original,0.1,0.1,1.0,0.02848035868435799,1313.7372759387863
64,original,0.1,0.1,1.0,0.03351602650938841,1313.847991606214
65,original,0.1,0.1,1.0,0.03944206059437656,1313.941657937017
66,original,0.1,0.1,1.0,0.046415888336127725,1314.0209379304713
67,original,0.1,0.1,1.0,0.05462277217684337,1314.0880983519876
68,original,0.1,0.1,1.0,0.06428073117284319,1314.145010016125
69,original,0.1,0.1,1.0,0.07564633275546291,1314.1932570034764
70,original,0.1,0.1,1.0,0.08902150854450375,1314.2341749843702
71,original,0.1,0.1,1.0,0.1047615752789664,1314.268877876901
72,original,0.1,0.1,1.0,0.12328467394420659,1314.298340456625
73,original,0.1,0.1,1.0,0.145082877849594,1314.323336212126
74,original,0.1,0.1,1.0,0.17073526474706888,1314.344560329875
75,original,0.1,0.1,1.0,0.2009233002565046,1314.3625743361545
76,original,0.1,0.1,1.0,0.23644894126454072,1314.3778725640436
77,original,0.1,0.1,1.0,0.2782559402207126,1314.3908657544002
78,original,0.1,0.1,1.0,0.3274549162877725,1314.4018890383586
79,original,0.1,0.1,1.0,0.38535285937105274,1314.4112716195636
80,original,0.1,0.1,1.0,0.4534878508128582,1314.4192314070306
81,original,0.1,0.1,1.0,0.5336699231206302,1314.425992220715
82,original,0.1,0.1,1.0,0.6280291441834247,1314.4317368203947
83,original,0.1,0.1,1.0,0.7390722033525775,1314.4366159300055
84,original,0.1,0.1,1.0,0.8697490026177834,1314.4407633802439
85,original,0.1,0.1,1.0,1.0235310218990248,1314.4442881200987
86,original,0.1,0.1,1.0,1.2045035402587811,1314.4472762060543
87,original,0.1,0.1,1.0,1.4174741629268048,1314.4498208362877
88,original,0.1,0.1,1.0,1.6681005372000592,1314.4519873361926
89,original,0.1,0.1,1.0,1.9630406500402684,1314.4538192426878
90,original,0.1,0.1,1.0,2.310129700083158,1314.4553778503719
91,original,0.1,0.1,1.0,2.71858824273294,1314.4567049401744
92,original,0.1,0.1,1.0,3.1992671377973845,1314.4578342684042
93,original,0.1,0.1,1.0,3.7649358067924634,1314.4587862816838
94,original,0.1,0.1,1.0,4.430621457583878,1314.459601007917
95,original,0.1,0.1,1.0,5.214008287999684,1314.460293740355
96,original,0.1,0.1,1.0,6.135907273413163,1314.4608805442233
97,original,0.1,0.1,1.0,7.220809018385457,1314.4613776570252
98,original,0.1,0.1,1.0,8.497534359086439,1314.4618219340175
99,original,0.1,0.1,1.0,10.0,1314.4621594157484
100,original,0.1,0.1,5.0,1e-06,928.9575389099164
101,original,0.1,0.1,5.0,1.1768119524349991e-06,930.2983888574929
102,original,0.1,0.1,5.0,1.3848863713938717e-06,931.8653206580371
103,original,0.1,0.1,5.0,1.6297508346206435e-06,933.694247285235
104,original,0.1,0.1,5.0,1.917910261672489e-06,935.8259934965347
105,original,0.1,0.1,5.0,2.2570197196339214e-06,938.3065351902641
106,original,0.1,0.1,5.0,2.656087782946684e-06,941.1873854484911
107,original,0.1,0.1,5.0,3.1257158496882352e-06,944.525864108792
108,original,0.1,0.1,5.0,3.6783797718286343e-06,948.3845797555202
109,original,0.1,0.1,5.0,4.328761281083061e-06,952.8313865364315
110,original,0.1,0.1,5.0,5.0941380148163755e-06,957.9382787685853
111,original,0.1,0.1,5.0,5.994842503189409e-06,963.78015401773
112,original,0.1,0.1,5.0,7.0548023107186455e-06,970.4327507735433
113,original,0.1,0.1,5.0,8.302175681319735e-06,977.9696777745389
114,original,0.1,0.1,5.0,9.770099572992246e-06,986.4590608314096
115,original,0.1,0.1,5.0,1.1497569953977357e-05,995.9589427459015
