,model,C0,S0,pato0,k_ap,GFP
29,original_dimer,0.1,0.1,1.0,0.00011233240329780277,175.47215245089447
30,original_dimer,0.1,0.1,1.0,0.00013219411484660288,175.4896955500623
31,original_dimer,0.1,0.1,1.0,0.00015556761439304722,175.51396683843632
32,original_dimer,0.1,0.1,1.0,0.0001830738280295368,175.54754158328566
33,original_dimer,0.1,0.1,1.0,0.00021544346900318823,175.59398399604817
34,original_dimer,0.1,0.1,1.0,0.00025353644939701115,175.65820291021078
35,original_dimer,0.1,0.1,1.0,0.0002983647240283337,175.7469741016413
36,original_dimer,0.1,0.1,1.0,0.0003511191734215131,175.86963792731257
37,original_dimer,0.1,0.1,1.0,0.00041320124001153346,176.03903702048515
38,original_dimer,0.1,0.1,1.0,0.00048626015800653534,176.27282294572433
39,original_dimer,0.1,0.1,1.0,0.0005722367659350214,176.59518332482966
40,original_dimer,0.1,0.1,1.0,0.0006734150657750821,177.03917502558437
41,original_dimer,0.1,0.1,1.0,0.0007924828983539169,177.64977510477223
42,original_dimer,0.1,0.1,1.0,0.0009326033468832199,178.48781694075143
43,original_dimer,0.1,0.1,1.0,0.0010974987654930556,179.6349220012421
44,original_dimer,0.1,0.1,1.0,0.001291549665014884,181.19929089923585
45,original_dimer,0.1,0.1,1.0,0.0015199110829529332,183.3218472122871
46,original_dimer,0.1,0.1,1.0,0.001788649529057435,186.1812650545412
47,original_dimer,0.1,0.1,1.0,0.00210490414451202,189.9945220815629
48,original_dimer,0.1,0.1,1.0,0.0024770763559917087,195.00662984011066
49,original_dimer,0.1,0.1,1.0,0.002915053062825176,201.45863576597807
50,original_dimer,0.1,0.1,1.0,0.0034304692863149156,209.52025106956216
51,original_dimer,0.1,0.1,1.0,0.004037017258596553,219.18133430460946
52,original_dimer,0.1,0.1,1.0,0.004750810162102793,230.1321129112404
53,original_dimer,0.1,0.1,1.0,0.005590810182512223,241.72447293765532
54,original_dimer,0.1,0.1,1.0,0.006579332246575676,253.1171595708013
55,original_dimer,0.1,0.1,1.0,0.007742636826811269,263.56405331948565
56,original_dimer,0.1,0.1,1.0,0.009111627561154887,272.63477074010444
57,original_dimer,0.1,0.1,1.0,0.010722672220103232,280.23006919414394
58,original_dimer,0.1,0.1,1.0,0.012618568830660211,286.46285849680993
59,original_dimer,0.1,0.1,1.0,0.014849682622544635,291.532672893364
60,original_dimer,0.1,0.1,1.0,0.017475284000076828,295.6488552470282
61,original_dimer,0.1,0.1,1.0,0.020565123083486514,298.9971599247092
62,original_dimer,0.1,0.1,1.0,0.024201282647943835,301.73093483179935
63,original_dimer,0.1,0.1,1.0,0.02848035868435799,303.9727306032601
64,original_dimer,0.1,0.1,1.0,0.03351602650938841,305.8191964674724
65,original_dimer,0.1,0.1,1.0,0.03944206059437656,307.3463776489819
66,original_dimer,0.1,0.1,1.0,0.046415888336127725,308.6142457925341
67,original_dimer,0.1,0.1,1.0,0.05462277217684337,309.67036236944506
68,original_dimer,0.1,0.1,1.0,0.06428073117284319,310.55266553547204
69,original_dimer,0.1,0.1,1.0,0.07564633275546291,311.29160833076963
70,original_dimer,0.1,0.1,1.0,0.08902150854450375,311.91184917832965
71,original_dimer,0.1,0.1,1.0,0.1047615752789664,312.433409696227
72,original_dimer,0.1,0.1,1.0,0.12328467394420659,312.87268926388657
73,original_dimer,0.1,0.1,1.0,0.145082877849594,313.2431756520897
74,original_dimer,0.1,0.1,1.0,0.17073526474706888,313.5559903928164
75,original_dimer,0.1,0.1,1.0,0.2009233002565046,313.82036951716555
76,original_dimer,0.1,0.1,1.0,0.23644894126454072,314.04400732594587
77,original_dimer,0.1,0.1,1.0,0.2782559402207126,314.2333057984453
78,original_dimer,0.1,0.1,1.0,0.3274549162877725,314.3936227943479
79,original_dimer,0.1,0.1,1.0,0.38535285937105274,314.5294872096403
80,original_dimer,0.1,0.1,1.0,0.4534878508128582,314.64466312030993
81,original_dimer,0.1,0.1,1.0,0.5336699231206302,314.742337451412
82,original_dimer,0.1,0.1,1.0,0.6280291441834247,314.8251902031569
83,original_dimer,0.1,0.1,1.0,0.7390722033525775,314.8955016483586
84,original_dimer,0.1,0.1,1.0,0.8697490026177834,314.9551676844877
85,original_dimer,0.1,0.1,1.0,1.0235310218990248,315.00582999936967
86,original_dimer,0.1,0.1,1.0,1.2045035402587811,315.0488320966108
87,original_dimer,0.1,0.1,1.0,1.4174741629268048,315.0853479618187
88,original_dimer,0.1,0.1,1.0,1.6681005372000592,315.11635782119
89,original_dimer,0.1,0.1,1.0,1.9630406500402684,315.1426966375245
90,original_dimer,0.1,0.1,1.0,2.310129700083158,315.165069767155
91,original_dimer,0.1,0.1,1.0,2.71858824273294,315.18407146678067
92,original_dimer,0.1,0.1,1.0,3.1992671377973845,315.2002148711914
93,original_dimer,0.1,0.1,1.0,3.7649358067924634,315.21392150088667
94,original_dimer,0.1,0.1,1.0,4.430621457583878,315.22557750168863
